,datetime,id,open,high,low,close,volume,open_oi,close_oi,symbol,duration
266,2022-08-11,59.0,711.0,721.5,700.5,718.5,24569.0,91385.0,88965.0,DCE.i2305,86400
267,2022-08-12,60.0,720.0,721.0,695.5,708.0,24196.0,88965.0,92597.0,DCE.i2305,86400
268,2022-08-15,61.0,705.0,715.0,682.5,687.0,30187.0,92597.0,94359.0,DCE.i2305,86400
269,2022-08-16,62.0,682.0,705.0,677.0,699.0,21215.0,94359.0,94009.0,DCE.i2305,86400
270,2022-08-17,63.0,703.0,703.0,664.0,665.0,29205.0,94009.0,100186.0,DCE.i2305,86400
271,2022-08-18,64.0,668.0,679.0,657.5,659.0,30464.0,100186.0,102685.0,DCE.i2305,86400
272,2022-08-19,65.0,662.0,670.5,650.5,654.0,28945.0,102685.0,105702.0,DCE.i2305,86400
273,2022-08-22,66.0,655.0,675.5,652.5,668.0,30995.0,105702.0,103202.0,DCE.i2305,86400
274,2022-08-23,67.0,666.0,683.0,659.0,677.0,22050.0,103202.0,105224.0,DCE.i2305,86400
275,2022-08-24,68.0,679.5,687.5,670.0,684.5,20873.0,105224.0,105558.0,DCE.i2305,86400
276,2022-08-25,69.0,686.0,689.5,673.0,674.5,25416.0,105558.0,105341.0,DCE.i2305,86400
277,2022-08-26,70.0,676.0,699.0,675.0,698.5,38805.0,105341.0,107619.0,DCE.i2305,86400
278,2022-08-29,71.0,698.5,701.5,671.0,680.0,37066.0,107619.0,111489.0,DCE.i2305,86400
279,2022-08-30,72.0,680.0,682.5,647.5,648.5,39427.0,111489.0,117565.0,DCE.i2305,86400
280,2022-08-31,73.0,677.5,677.5,647.5,654.5,42412.0,117565.0,115415.0,DCE.i2305,86400
281,2022-09-01,74.0,658.0,665.5,644.0,645.5,37532.0,115415.0,115677.0,DCE.i2305,86400
282,2022-09-02,75.0,643.0,647.5,623.5,634.0,47115.0,115677.0,121808.0,DCE.i2305,86400
283,2022-09-05,76.0,636.5,662.0,631.5,658.5,47757.0,121808.0,122309.0,DCE.i2305,86400
284,2022-09-06,77.0,660.0,664.5,651.5,657.0,32275.0,122309.0,125993.0,DCE.i2305,86400
285,2022-09-07,78.0,656.0,663.0,640.0,645.5,43597.0,125993.0,130954.0,DCE.i2305,86400
286,2022-09-08,79.0,648.0,672.5,643.5,668.0,49348.0,130954.0,132310.0,DCE.i2305,86400
287,2022-09-09,80.0,667.5,680.5,663.0,675.5,37880.0,132310.0,129705.0,DCE.i2305,86400
288,2022-09-13,81.0,680.0,689.0,675.0,685.0,26122.0,129705.0,130677.0,DCE.i2305,86400
289,2022-09-14,82.0,685.0,685.0,671.5,679.5,33438.0,130677.0,130840.0,DCE.i2305,86400
290,2022-09-15,83.0,678.5,692.0,670.5,678.5,46648.0,130840.0,133646.0,DCE.i2305,86400
291,2022-09-16,84.0,679.0,682.0,663.5,671.5,41731.0,133646.0,132731.0,DCE.i2305,86400
292,2022-09-19,85.0,672.0,685.0,666.0,667.0,37599.0,132731.0,135390.0,DCE.i2305,86400
293,2022-09-20,86.0,670.5,678.0,655.5,656.5,53139.0,135390.0,131611.0,DCE.i2305,86400
294,2022-09-21,87.0,655.0,665.0,647.5,663.5,41355.0,131611.0,133087.0,DCE.i2305,86400
295,2022-09-22,88.0,663.0,678.0,654.5,677.0,37697.0,133087.0,132943.0,DCE.i2305,86400
296,2022-09-23,89.0,680.0,686.0,672.5,678.5,36470.0,132943.0,134080.0,DCE.i2305,86400
297,2022-09-26,90.0,675.0,677.0,661.0,668.5,50252.0,134080.0,135246.0,DCE.i2305,86400
298,2022-09-27,91.0,670.0,679.5,667.0,676.5,35254.0,135246.0,135906.0,DCE.i2305,86400
299,2022-09-28,92.0,679.0,684.5,669.0,671.5,30286.0,135906.0,140124.0,DCE.i2305,86400
300,2022-09-29,93.0,673.0,691.0,669.5,684.0,46159.0,140124.0,143257.0,DCE.i2305,86400
301,2022-09-30,94.0,685.0,690.5,677.0,682.0,39663.0,143257.0,145591.0,DCE.i2305,86400
302,2022-10-10,95.0,681.0,702.0,681.0,697.0,34267.0,145591.0,148797.0,DCE.i2305,86400
303,2022-10-11,96.0,699.5,702.5,678.5,680.5,45115.0,148797.0,155290.0,DCE.i2305,86400
304,2022-10-12,97.0,681.0,684.0,667.0,675.5,38079.0,155290.0,160165.0,DCE.i2305,86400
305,2022-10-13,98.0,675.5,678.0,657.0,658.5,43493.0,160165.0,166769.0,DCE.i2305,86400
306,2022-10-14,99.0,655.0,670.5,650.5,664.5,35534.0,166769.0,171546.0,DCE.i2305,86400
307,2022-10-17,100.0,665.0,667.5,644.0,650.5,58987.0,171546.0,176950.0,DCE.i2305,86400
308,2022-10-18,101.0,649.0,655.0,638.0,648.0,54497.0,176950.0,176636.0,DCE.i2305,86400
309,2022-10-19,102.0,647.0,655.0,643.5,648.0,34508.0,176636.0,177842.0,DCE.i2305,86400
310,2022-10-20,103.0,649.0,649.0,627.5,630.5,72906.0,177842.0,179680.0,DCE.i2305,86400
311,2022-10-21,104.0,630.0,649.0,628.0,639.0,51048.0,179680.0,179650.0,DCE.i2305,86400
312,2022-10-24,105.0,638.0,655.0,636.5,640.5,52402.0,179650.0,177621.0,DCE.i2305,86400
313,2022-10-25,106.0,639.0,641.5,626.5,632.5,48469.0,177621.0,184609.0,DCE.i2305,86400
314,2022-10-26,107.0,631.0,643.5,623.5,626.0,59472.0,184609.0,190572.0,DCE.i2305,86400
315,2022-10-27,108.0,628.5,633.0,611.0,611.5,66672.0,190572.0,202293.0,DCE.i2305,86400
316,2022-10-28,109.0,609.0,617.0,595.0,599.0,142185.0,202293.0,215298.0,DCE.i2305,86400
317,2022-10-31,110.0,598.5,602.5,579.0,583.0,114571.0,215298.0,216318.0,DCE.i2305,86400
318,2022-11-01,111.0,588.0,605.5,577.0,604.0,127268.0,216318.0,219788.0,DCE.i2305,86400
319,2022-11-02,112.0,601.5,614.0,596.0,605.0,102766.0,219788.0,223366.0,DCE.i2305,86400
320,2022-11-03,113.0,602.5,613.5,599.0,606.5,86163.0,223366.0,223847.0,DCE.i2305,86400
321,2022-11-04,114.0,614.0,634.0,599.0,630.5,131965.0,223847.0,214295.0,DCE.i2305,86400
322,2022-11-07,115.0,632.5,646.5,628.0,636.0,140768.0,214295.0,228757.0,DCE.i2305,86400
323,2022-11-08,116.0,639.0,658.0,635.0,656.0,122030.0,228757.0,234750.0,DCE.i2305,86400
324,2022-11-09,117.0,658.0,670.0,655.0,665.0,125647.0,234750.0,254061.0,DCE.i2305,86400
325,2022-11-10,118.0,666.0,666.0,652.5,663.0,168129.0,254061.0,270126.0,DCE.i2305,86400
326,2022-11-11,119.0,660.0,697.5,657.0,689.5,251015.0,270126.0,287391.0,DCE.i2305,86400
327,2022-11-14,120.0,687.0,724.0,687.0,697.5,244363.0,287391.0,303011.0,DCE.i2305,86400
328,2022-11-15,121.0,696.0,713.5,691.0,703.5,179666.0,303011.0,316044.0,DCE.i2305,86400
329,2022-11-16,122.0,700.0,723.0,698.0,713.5,213312.0,316044.0,331074.0,DCE.i2305,86400
330,2022-11-17,123.0,716.0,722.5,702.0,720.0,246813.0,331074.0,354276.0,DCE.i2305,86400
331,2022-11-18,124.0,720.0,730.5,715.0,724.0,257694.0,354276.0,365496.0,DCE.i2305,86400
332,2022-11-21,125.0,722.0,723.5,693.5,709.5,308152.0,365496.0,353793.0,DCE.i2305,86400
333,2022-11-22,126.0,707.0,713.0,690.0,691.0,232744.0,353793.0,364222.0,DCE.i2305,86400
334,2022-11-23,127.0,687.0,707.0,686.5,703.0,261086.0,364222.0,381098.0,DCE.i2305,86400
335,2022-11-24,128.0,700.5,713.0,698.0,702.0,226022.0,381098.0,388363.0,DCE.i2305,86400
336,2022-11-25,129.0,701.0,727.0,694.5,726.0,285277.0,388363.0,387533.0,DCE.i2305,86400
337,2022-11-28,130.0,730.5,735.0,717.5,728.5,310388.0,387533.0,416482.0,DCE.i2305,86400
338,2022-11-29,131.0,732.0,758.0,731.5,748.5,389315.0,416482.0,452107.0,DCE.i2305,86400
339,2022-11-30,132.0,751.0,755.0,740.5,752.0,310982.0,452107.0,490918.0,DCE.i2305,86400
340,2022-12-01,133.0,756.0,767.5,750.0,753.5,442276.0,490918.0,529637.0,DCE.i2305,86400
341,2022-12-02,134.0,753.5,782.5,751.5,777.5,469225.0,529637.0,568281.0,DCE.i2305,86400
